epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,33628.4,1.33588,0.63798,0.85388,0.92077,0.85054,0.9268,0.59674,1.19397,0.66006,0.83464,0.0083665,0.0083665,0.0083665
167,33829.4,1.33673,0.63788,0.85323,0.92119,0.8507,0.92692,0.59715,1.19337,0.65933,0.83452,0.0083566,0.0083566,0.0083566
168,34025.4,1.33831,0.64073,0.85349,0.92164,0.84967,0.92682,0.59723,1.19298,0.65909,0.83444,0.0083467,0.0083467,0.0083467
169,34233.2,1.32543,0.63885,0.85279,0.92173,0.85076,0.92689,0.59787,1.19237,0.65966,0.83434,0.0083368,0.0083368,0.0083368
170,34435.4,1.34213,0.63754,0.8526,0.9219,0.84994,0.92677,0.59804,1.19186,0.65977,0.83422,0.0083269,0.0083269,0.0083269
171,34637.1,1.33979,0.64085,0.85329,0.92146,0.85035,0.92704,0.59821,1.19152,0.6598,0.83411,0.008317,0.008317,0.008317
172,34840.2,1.33393,0.63684,0.85336,0.92161,0.85117,0.92771,0.59866,1.19141,0.65944,0.83406,0.0083071,0.0083071,0.0083071
173,35038.7,1.33336,0.63837,0.85418,0.9221,0.85117,0.92792,0.59875,1.19098,0.65876,0.83395,0.0082972,0.0082972,0.0082972
174,35238.1,1.32715,0.63379,0.85361,0.92183,0.85198,0.92806,0.5989,1.19063,0.65859,0.83382,0.0082873,0.0082873,0.0082873
175,35439.5,1.34497,0.64039,0.85446,0.92192,0.85185,0.92801,0.59907,1.19055,0.65812,0.83376,0.0082774,0.0082774,0.0082774
176,35642.7,1.34226,0.64109,0.8537,0.92285,0.85089,0.92815,0.599,1.19034,0.65784,0.83369,0.0082675,0.0082675,0.0082675
